	D1	D10	D11	D21	D22	D3D	D3K	D4	D5	D6	D7	D8	D9
OG149	6	7	7	4	5	6	5	7	3	3	4	7	5
OG150	9	6	6	2	7	6	7	5	3	5	3	5	5
OG151	6	7	4	5	6	5	7	5	3	2	6	6	6
OG152	4	24	8	0	4	6	6	1	1	3	3	5	3
OG153	5	12	6	3	5	7	7	4	1	6	4	5	3
OG154	5	5	6	6	5	6	6	4	4	4	6	5	6
OG155	5	5	6	4	6	7	5	6	3	6	5	5	5
OG156	7	7	6	2	3	7	6	6	3	4	6	7	4
OG157	7	27	7	2	1	7	1	1	0	3	0	5	6
OG158	8	9	6	3	3	7	6	4	2	2	4	7	6
OG159	6	5	5	3	4	5	6	6	7	5	3	6	6
OG160	6	6	6	5	5	6	6	4	4	3	4	6	6
OG161	7	7	4	2	6	7	6	6	5	4	5	5	3
OG162	6	6	6	6	4	5	6	5	4	4	4	4	6
OG163	4	5	4	1	6	10	8	7	4	3	7	6	1
OG164	9	9	2	1	5	9	7	5	2	3	2	6	6
OG165	5	6	6	4	5	4	6	6	5	4	5	5	5
OG166	4	4	4	4	6	6	6	7	6	4	6	4	5
OG167	8	7	8	3	3	6	6	1	4	4	1	9	5
OG168	7	13	6	1	1	9	7	2	1	5	1	10	2
OG169	6	6	5	3	8	10	5	2	1	7	5	5	2
OG170	4	10	7	1	3	5	11	4	2	4	5	7	2
OG171	5	5	6	4	6	5	5	4	5	4	7	5	4
OG172	6	6	6	6	3	6	6	4	5	4	2	4	6
OG173	9	11	1	6	6	8	7	1	2	3	1	7	2
OG174	6	13	4	1	8	6	10	2	2	1	3	5	3
OG175	5	5	6	5	3	4	6	5	4	5	4	5	7
OG176	6	17	6	2	5	5	5	5	0	5	3	3	2
OG177	4	7	4	4	6	4	6	6	3	5	4	6	5
OG178	4	8	5	3	4	7	7	7	2	6	5	3	3
OG179	7	6	6	4	4	6	5	5	3	3	5	7	2
OG180	7	4	6	3	7	7	6	4	2	4	4	6	3
OG181	3	4	7	4	5	5	7	5	1	6	7	4	5
OG182	5	5	4	5	5	6	5	5	5	5	4	6	3
OG183	7	9	7	3	4	7	4	3	3	6	3	4	3
OG184	3	24	4	3	6	6	3	3	2	2	2	4	1
OG185	7	9	5	5	2	8	7	3	2	5	1	6	3
OG186	4	5	5	5	5	5	5	6	4	4	5	5	5
OG187	3	9	5	1	2	9	7	4	1	5	7	6	4
OG188	5	7	4	3	7	6	4	5	1	5	8	4	4
OG189	7	6	4	4	4	5	6	5	4	4	4	5	5
OG190	7	14	6	3	8	1	2	5	2	4	5	5	0
OG191	5	6	5	4	5	5	5	5	4	3	5	5	5
OG192	6	6	7	4	6	4	4	4	1	4	6	5	5
OG193	6	8	7	5	4	4	6	3	2	1	3	8	5
OG194	9	3	4	2	6	7	8	2	1	7	5	5	3
OG195	5	12	9	1	4	9	3	3	0	5	1	6	4
OG196	5	8	4	5	6	3	5	7	0	9	3	4	3
OG197	6	9	4	2	4	7	5	6	3	5	4	5	2
OG198	3	9	7	4	7	7	7	2	1	6	3	5	1
OG199	5	9	10	2	8	7	2	3	2	4	3	5	2
OG200	5	7	6	4	1	9	8	3	2	3	3	6	5
OG201	4	8	6	2	4	4	2	7	1	5	8	5	5
OG202	5	5	5	3	5	5	5	4	5	5	4	5	5
OG203	5	5	5	4	5	5	5	5	5	5	5	3	4
OG204	5	6	5	5	7	5	5	4	3	1	4	5	6
OG205	5	5	5	4	6	5	5	5	4	4	5	4	4
OG206	6	5	5	2	8	5	4	5	0	6	6	5	4
OG207	5	6	5	2	6	4	8	5	4	5	6	4	1
OG208	4	10	10	2	5	6	4	4	0	5	5	4	2
OG209	7	10	4	4	4	5	4	4	1	6	3	4	4
OG210	4	5	5	5	4	5	4	4	4	5	5	5	5
OG211	4	4	4	4	4	5	5	5	6	4	5	5	5
OG212	5	5	5	5	5	5	5	5	2	3	5	5	5
OG213	5	5	5	3	4	5	5	5	3	5	5	5	5
OG214	5	5	5	5	5	5	5	3	3	4	5	5	5
OG215	7	4	4	2	6	4	5	5	6	5	1	7	4
OG216	6	6	6	5	4	7	7	1	1	6	1	5	5
OG217	4	12	7	2	5	7	6	5	0	1	2	5	4
OG218	5	8	4	4	5	6	5	5	3	3	3	5	3
OG219	6	7	5	1	3	6	4	5	4	4	5	5	4
OG220	5	5	5	2	3	6	5	4	4	5	4	6	5
OG221	6	4	5	5	5	6	6	3	1	4	4	5	5
OG222	5	5	4	5	4	5	6	4	4	5	4	5	3
OG223	5	5	4	5	4	4	5	6	4	4	4	5	4
OG224	6	6	6	2	5	6	5	5	4	3	3	3	5
OG225	4	5	4	5	5	5	5	5	4	3	5	5	4
OG226	6	6	5	3	3	6	3	5	2	4	5	6	5
OG227	4	5	5	4	5	4	5	6	4	2	5	5	5
OG228	7	8	5	3	4	6	3	3	0	3	4	8	5
OG229	5	7	7	5	2	5	6	6	0	2	7	3	4
OG230	4	4	4	5	7	4	4	7	2	3	5	4	6
OG231	5	6	5	3	3	6	6	2	6	3	4	5	5
OG232	8	5	1	5	4	6	5	5	0	3	8	8	1
OG233	5	5	4	0	5	6	7	6	4	5	4	4	3
OG234	6	6	5	2	5	5	5	5	2	2	6	4	5
OG235	5	5	5	5	5	5	5	5	2	2	4	5	5
OG236	5	5	5	4	5	6	6	3	4	3	3	5	4
OG237	5	5	5	5	4	5	5	4	1	4	5	5	5
OG238	5	7	3	2	7	5	6	3	4	3	5	6	2
OG239	5	3	5	5	5	4	4	5	5	4	5	3	5
OG240	4	9	5	2	2	5	5	5	1	7	2	8	3
OG241	4	4	5	5	4	5	5	5	4	3	4	4	5
OG242	5	4	4	5	4	4	5	5	5	4	4	4	4
OG243	5	5	5	5	3	5	4	3	5	2	5	5	5
OG244	7	9	4	5	6	5	5	4	1	1	1	8	1
OG245	5	5	5	4	5	4	4	5	3	3	5	4	5
OG246	5	5	5	2	4	5	5	4	6	3	5	5	3
OG247	4	10	2	2	4	8	7	3	0	4	3	9	1
OG248	4	13	3	2	5	8	8	1	0	5	4	2	2
OG249	4	4	5	4	4	5	5	4	3	4	5	5	5
OG250	7	10	4	1	2	4	5	3	2	6	4	6	3
OG251	5	4	4	6	4	5	5	3	3	3	4	6	5
OG252	6	8	6	2	7	4	4	5	1	3	3	5	3
OG253	5	5	5	4	4	5	5	5	3	1	5	5	5
OG254	5	8	6	3	4	6	6	2	1	6	4	3	3
OG255	2	18	6	5	3	5	5	2	0	2	3	3	3
OG256	6	6	7	2	5	5	5	5	1	2	4	5	4
OG257	5	14	4	2	3	6	7	4	0	6	1	4	1
OG258	4	10	5	3	3	9	5	1	0	4	4	5	3
OG259	5	5	5	2	5	5	5	5	2	3	5	4	5
OG260	5	5	5	2	5	5	5	5	2	4	5	5	3
OG261	3	4	6	3	4	8	7	4	1	4	5	5	2
OG262	3	11	9	3	4	4	4	5	0	2	1	4	6
OG263	5	5	5	5	5	4	4	4	3	2	5	4	5
OG264	6	7	7	1	6	6	4	5	0	3	4	6	1
OG265	3	20	2	0	5	7	5	1	0	4	2	7	0
OG266	5	5	5	3	5	4	4	4	5	3	4	4	5
OG267	5	5	5	4	4	5	5	4	3	2	4	5	5
OG268	5	4	5	3	5	5	4	5	3	3	5	5	4
OG269	5	5	5	5	5	5	5	5	1	1	5	4	4
OG270	5	5	5	4	5	4	4	4	5	3	4	2	5
OG271	5	5	4	4	3	5	5	3	2	5	4	5	5
OG272	5	7	5	3	3	5	5	4	3	3	4	5	3
OG273	5	5	5	5	5	5	5	1	4	3	2	5	5
OG274	4	5	4	5	5	4	3	4	3	4	5	5	4
OG275	5	5	5	4	3	4	4	3	4	3	5	5	5
OG276	5	6	5	4	3	6	4	4	2	3	3	5	5
OG277	4	6	4	0	6	6	5	5	1	6	4	5	3
OG278	4	4	4	6	4	4	4	5	4	4	4	4	4
